y_mm,lift_n_per_m,shear_n,moment_nm,spar_bending_stress_mpa
0.0,74.9172874882625,47.07114131622687,15.981744298832352,128.90508764328828
1.0,74.91722895910878,46.996224058003186,15.934710616145237,128.52572473548528
2.0,74.91705337137329,46.92130691683794,15.887751850657816,128.14696609264936
3.0000000000000004,74.91676072423293,46.84639000979014,15.840868002194503,127.76881171336426
4.0,74.91635101631591,46.77147345391987,15.794059070462648,127.39126159526955
5.0,74.91582424570163,46.69655736628886,15.747325055052544,127.01431573506065
6.000000000000001,74.9151804099207,46.621641863961045,15.700665955437419,126.63797412848871
7.000000000000001,74.91441950595481,46.54672706400311,15.654081770973436,126.26223677036067
8.0,74.9135415302368,46.47181308348501,15.607572500899693,125.88710365453932
9.000000000000002,74.91254647865038,46.39690003948056,15.56113814433821,125.51257477394304
10.0,74.9114343465302,46.321988049067976,15.514778700293936,125.13865012054599
11.000000000000002,74.91020512866164,46.24707722933038,15.468494167654738,124.76532968537794
12.000000000000002,74.90885881928077,46.17216769735641,15.422284545191394,124.39261345852428
13.000000000000002,74.90739541207411,46.09725957024073,15.376149831557596,124.02050142912603
14.000000000000002,74.90581490017858,46.02235296508461,15.330090025289934,123.6489935853796
15.0,74.90411727618128,45.94744799899643,15.284105124807894,123.27808991453696
16.0,74.90230253211935,45.87254478909228,15.23819512841385,122.90779040290545
17.0,74.90037065947978,45.79764345249648,15.192360034293054,122.53809503584773
18.000000000000004,74.89832164919916,45.72274410634214,15.146599840513636,122.16900379778177
19.000000000000004,74.89615549166354,45.64784686777171,15.100914545026578,121.80051667218065
20.0,74.89387217670816,45.572951853937525,15.055304145665723,121.43263364157265
21.0,74.8914716936172,45.498059182002365,15.009768640147753,121.06535468754109
22.000000000000004,74.88895403112362,45.423168969139994,14.964308026072182,120.69867979072413
23.000000000000004,74.88631917740872,45.34828133253573,14.918922300921343,120.33260893081489
24.000000000000004,74.88356712010209,45.273396389386974,14.873611462060381,119.96714208656124
25.0,74.88069784628108,45.198514256903785,14.828375506737236,119.60227923576566
26.000000000000004,74.8777113424707,45.12363505230941,14.78321443208263,119.23802035528524
27.000000000000004,74.87460759464318,45.04875889284085,14.738128235110056,118.87436542103147
28.000000000000004,74.87138658821766,44.97388589574942,14.69311691271576,118.51131440797023
29.000000000000004,74.86804830805991,44.89901617830128,14.648180461678736,118.14886729012157
30.0,74.86459273848189,44.82414985777801,14.603318878660696,117.78702404055966
31.0,74.86101986324144,44.74928705147715,14.558532160206068,117.42578463141263
32.0,74.85732966554187,44.674427876712755,14.513820302741973,117.06514903386245
33.0,74.85352212803156,44.59957245081597,14.469183302578209,116.70511721814484
34.0,74.84959723280357,44.52472089113555,14.424621155907234,116.34568915354899
35.0,74.84555496139522,44.44987331503845,14.380133858804147,115.98686480841756
36.00000000000001,74.84139529478763,44.37502983991036,14.335721407226673,115.62864415014649
37.00000000000001,74.8371182134053,44.300190583156265,14.29138379701514,115.27102714518482
38.00000000000001,74.83272369711561,44.225355662201004,14.247121023892461,114.91401375903456
39.00000000000001,74.82821172522839,44.15052519448983,14.202933083464115,114.55760395625047
40.0,74.8235822764954,44.07569929748897,14.158819971218126,114.20179770044004
41.00000000000001,74.81883532910985,44.000878088686164,14.114781682525038,113.8465949542631
42.0,74.81397086070588,43.92606168559126,14.0708182126379,113.49199567943182
43.0,74.80898884835798,43.851250205736726,14.026929556692235,113.13799983671049
44.00000000000001,74.80388926858056,43.776443766678256,13.983115709706027,112.78460738591528
45.0,74.79867209732726,43.7016424859953,13.93937666657969,112.4318182859141
46.00000000000001,74.7933373099905,43.62684648129164,13.895712422096047,112.07963249462641
47.0,74.78788488140083,43.55205587019595,13.852122970920302,111.72804996902295
48.00000000000001,74.78231478582632,43.47727077036234,13.808608307600023,111.37707066512566
49.0,74.77662699697201,43.40249129947094,13.765168426565106,111.02669453800733
50.0,74.77082148797923,43.32771757522846,13.721803322127757,110.67692154179157
51.00000000000001,74.76489823142505,43.25294971536876,13.678512988482458,110.32775162965237
52.00000000000001,74.75885719932148,43.17818783765338,13.635297419705948,109.97918475381407
53.00000000000001,74.75269836311496,43.10343205987216,13.592156609757184,109.631220865551
54.00000000000001,74.74642169368558,43.02868249984376,13.549090552477326,109.28385991518736
55.0,74.7400271613464,42.953939275416246,13.506099241589697,108.93710185209693
56.00000000000001,74.73351473584283,42.87920250446765,13.463182670699755,108.5909466247028
57.0,74.7268843863518,42.804472304906554,13.420340833295068,108.24539418047716
58.00000000000001,74.72013608148107,42.72974879467264,13.377573722745279,107.90044446594108
59.00000000000001,74.7132697892685,42.65503209173726,13.334881332302073,107.55609742666421
60.0,74.70628547718127,42.58032231410404,13.292263655099152,107.21235300726455
61.00000000000001,74.69918311211507,42.50561957980939,13.249720684152194,106.86921115140817
62.0,74.6919626603934,42.430924006923135,13.207252412358828,106.52667180180897
63.0,74.68462408776665,42.356235713549054,13.164858832498592,106.18473490022834
64.0,74.6771673594114,42.281554817825466,13.122539937232904,105.84340038747499
65.0,74.66959243992949,42.206881437925794,13.08029571910503,105.50266820340458
66.0,74.66189929334722,42.132215692059155,13.038126170540037,105.16253828691947
67.0,74.65408788311447,42.05755769847092,12.996031283844772,104.82301057596842
68.0,74.64615817210384,41.98290757544331,12.954011051207814,104.48408500754634
69.0,74.63811012260977,41.90826544129596,12.912065464699445,104.14576151769387
70.0,74.6299436963476,41.83363141438648,12.870194516271605,103.80804004149728
71.00000000000001,74.62165885445265,41.75900561311108,12.828398197757856,103.4709205130879
72.00000000000001,74.61325555747933,41.68438815590511,12.786676500873348,103.13440286564204
73.00000000000001,74.60473376540018,41.60977916124367,12.745029417214774,102.79848703138056
74.00000000000001,74.59609343760485,41.53517874764217,12.70345693826033,102.46317294156857
75.0,74.58733453289918,41.46058703365692,12.661959055369682,102.12846052651504
76.00000000000001,74.5784570095042,41.38600413788572,12.62053575978391,101.7943497155726
77.0,74.56946082505512,41.31143017896844,12.579187042625483,101.46084043713707
78.00000000000001,74.56034593660027,41.23686527558762,12.537912894898204,101.12793261864722
79.0,74.55111230060011,41.16230954646902,12.496713307487175,100.79562618658436
80.0,74.54175987292615,41.087763110382255,12.45558827115875,100.463921066472
81.0,74.53228860885991,41.013226086141366,12.414537776560488,100.13281718287553
82.00000000000001,74.5226984630918,40.93869859260539,12.373561814221114,99.80231445940177
83.0,74.51298938972005,40.86418074867898,12.332660374550471,99.47241281869876
84.0,74.50316134224957,40.789672673313,12.291833447839474,99.14311218245521
85.0,74.49321427359084,40.71517448550508,12.251081024260065,98.81441247140027
86.0,74.48314813605877,40.64068630430025,12.210403093865162,98.48631360530307
87.00000000000001,74.47296288137156,40.56620824879154,12.169799646588617,98.15881550297232
88.00000000000001,74.46265846064942,40.49174043812053,12.12927067224516,97.83191808225602
89.00000000000001,74.45223482441354,40.417282991478,12.088816160530362,97.50562126004095
90.0,74.44169192258474,40.3428360281045,12.04843610102057,97.17992495225238
91.0,74.43102970448231,40.268399667290964,12.008130483172872,96.85482907385354
92.00000000000001,74.42024811882283,40.19397402837931,11.967899296325037,96.53033353884535
93.00000000000001,74.40934711371875,40.11955923076304,11.927742529695465,96.20643826026588
94.0,74.39832663667731,40.04515539388784,11.88766017238314,95.88314315019005
95.0,74.38718663459913,39.9707626372522,11.847652213367569,95.56044811972909
96.00000000000001,74.37592705377693,39.89638108040801,11.807718641508739,95.23835307903018
97.00000000000001,74.36454783989427,39.82201084296118,11.767859445547055,94.916857937276
